doc_id,doc_authority,doc_type,doc_year,doc_code,doc_license,doc_url_repo,doc_url2,doc_url3
1,br,br;sp;sao.paulo:amlurb:resolucao,2015,55,implied-lex-BR-v1,http://www3.prefeitura.sp.gov.br/cadlem/secretarias/negocios_juridicos/cadlem/integra.asp?alt=15012015R%20000552015SES%20%20%20AMLURB,http://file.sindiplast.org.br/download/2015/resolucao_55_amlurb2015_v1.pdf,
2,br,constituicao,1988,1988,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:constituicao:1988-10-05;1988,http://www2.camara.leg.br/legin/fed/consti/1988/constituicao-1988-5-outubro-1988-322142-normaatualizada-pl.pdf,
3,br,federal:decreto,1975,75699,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:1975-05-06;75699,,
4,br,federal:decreto,2009,6949,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:2009-08-25;6949,,
5,br,federal:lei,2000,10098,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2000-12-19;10098,,
6,br,federal:lei,2002,4074,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:decreto:2002-01-04;4074,,
7,br,federal:lei,2004,12965,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2014-04-23;12965,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=1&data=24/04/2014,
8,br,federal:lei,2008,11705,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2008-06-19;11705,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=1&data=20/06/2008,
9,br,federal:lei,2015,13146,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br:federal:lei:2015-07-06;13146,,
10,br;distrito.federal,csceajur:resolucao,2006,25,implied-lex-BR-v1,http://www.defensoria.df.gov.br/wp-content/antigo/00000184.pdf,,
11,br;distrito.federal,distrital:lei,2006,3919,implied-lex-BR-v1,http://www.lexml.gov.br/urn/urn:lex:br;distrito.federal:distrital:lei:2006-12-19;3919,,
12,br;mt,secrearia.fazenda:potaria,2009,182,implied-lex-BR-v1,http://app1.sefaz.mt.gov.br/0325677500623408/E9A3C2B663F122AC04256D5E004CC094/57C3C9C1D1139AB604257650005C5BDE,,
13,br;pernanbuco,estadual:decreto,2003,25343,implied-lex-BR-v1,http://www.legisweb.com.br/legislacao/?id=149173,,
14,br;sp;sao.paulo,municipal:decreto,1978,14932,implied-lex-BR-v1,http://www.radarmunicipal.com.br/legislacao/decreto-14932,,
15,it,legge,1981,456,implied-lex-IT-v1,http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1981-08-06;456,http://www.gazzettaufficiale.it/eli/id/1981/08/11/081U0456/sg,
16,uk,ukpga,2006,49,OGL,http://www.legislation.gov.uk/ukpga/2006/49,http://www.legislation.gov.uk/ukpga/2006/49/pdfs/ukpga_20060049_en.pdf,
17,uk,uksi,2015,1510,OGL,http://www.legislation.gov.uk/id/uksi/2015/1510,http://www.legislation.gov.uk/uksi/2015/1510/pdfs/uksi_20151510_en.pdf,
18,us,constitution,1789,,implied-lex-US-v1,http://www.archives.gov/exhibits/charters/constitution_transcript.html,http://www.gpo.gov/fdsys/pkg/GPO-CONAN-1992/pdf/GPO-CONAN-1992-6.pdf,
