id_label,id_version,name,family,status,is_by,is_sa,is_generic,domain_content,domain_data,domain_software,od_conformance,osd_conformance,maintainer,title,url,url_original
aal,,AAL,,active,,,,,,1,not reviewed,approved,,Attribution Assurance Licenses,http://www.opensource.org/licenses/AAL,
afl,3.0,AFL-3.0,,active,,,,1,,1,not reviewed,approved,Lawrence Rosen,Academic Free License 3.0,http://www.opensource.org/licenses/AFL-3.0,
against-drm,,Against-DRM,cc-by-sa-*,active,1,1,,1,,,approved,not reviewed,,Against DRM,http://www.opendefinition.org/licenses/against-drm,http://www.freecreations.org/Against_DRM2.html
agpl,3.0,AGPL-3.0,,active,,,,,,1,not reviewed,approved,Free Software Foundation,GNU Affero General Public License v3,http://www.opensource.org/licenses/AGPL-3.0,
apache,1.1,Apache-1.1,,retired,,,,,,1,not reviewed,approved,Apache Foundation,Apache Software License 1.1,http://www.opensource.org/licenses/Apache-1.1,
apache,2.0,Apache-2.0,,active,,,,,,1,not reviewed,approved,Apache Foundation,Apache Software License 2.0,http://www.opensource.org/licenses/Apache-2.0,
apl,1.0,APL-1.0,,active,,,,,,1,not reviewed,approved,,Adaptive Public License 1.0,http://www.opensource.org/licenses/APL-1.0,
apsl,2.0,APSL-2.0,,active,,,,,,1,not reviewed,approved,,Apple Public Source License 2.0,http://www.opensource.org/licenses/APSL-2.0,
artistic,2.0,Artistic-2.0,,active,,,,,,1,not reviewed,approved,Perl Foundation,Artistic License 2.0,http://www.opensource.org/licenses/Artistic-2.0,
bittorrent,1.1,BitTorrent-1.1,,active,,,,,,1,not reviewed,not reviewed,,BitTorrent Open Source License 1.1,https://spdx.org/licenses/BitTorrent-1.1,
bsd-clause,2,BSD-2-Clause,,active,,,,,,1,not reviewed,approved,,"BSD 2-Clause ""Simplified"" or ""FreeBSD"" License (BSD-2-Clause)",http://www.opensource.org/licenses/BSD-2-Clause,
bsd-clause,2,BSD-3-Clause,,active,,,,,,1,not reviewed,approved,,"BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",http://www.opensource.org/licenses/BSD-3-Clause,
bsl,1.0,BSL-1.0,,active,,,,,,1,not reviewed,approved,,Boost Software License 1.0,http://www.opensource.org/licenses/BSL-1.0,
catosl,1.1,CATOSL-1.1,,active,,,,,,1,not reviewed,approved,,Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),http://www.opensource.org/licenses/CATOSL-1.1,
